,Date,NIKKEI 225
597,1982-04-12,7280.819823999999
598,1982-04-13,7252.930176000001
599,1982-04-14,7181.529785
600,1982-04-15,7120.859863
601,1982-04-16,7129.689941
602,1982-04-19,7135.209961
603,1982-04-20,7258.149901999999
604,1982-04-21,7260.580078
605,1982-04-22,7295.870117
606,1982-04-23,7333.939941
607,1982-04-26,7404.209961
608,1982-04-27,7417.160156
609,1982-04-28,7405.279785
611,1982-04-30,7390.709961
613,1982-05-04,7457.109863
615,1982-05-06,7517.779785
616,1982-05-07,7518.779785
617,1982-05-10,7564.589844
618,1982-05-11,7538.120117
619,1982-05-12,7539.779785
620,1982-05-13,7603.209961
621,1982-05-14,7575.810059
622,1982-05-17,7619.390137
623,1982-05-18,7567.060059
624,1982-05-19,7572.149901999999
625,1982-05-20,7531.540039
626,1982-05-21,7497.049805
627,1982-05-24,7468.279785
628,1982-05-25,7428.399901999999
629,1982-05-26,7449.919922
630,1982-05-27,7404.359863
631,1982-05-28,7325.089844
632,1982-05-31,7325.649901999999
633,1982-06-01,7368.660156
634,1982-06-02,7344.899901999999
635,1982-06-03,7301.939941
636,1982-06-04,7300.540039
637,1982-06-07,7242.390137
638,1982-06-08,7240.029785
639,1982-06-09,7233.029785
640,1982-06-10,7152.279785
641,1982-06-11,7195.459961
642,1982-06-14,7242.580078
643,1982-06-15,7191.02002
644,1982-06-16,7142.390137
645,1982-06-17,7130.25
646,1982-06-18,7127.700195
647,1982-06-21,7091.109863
648,1982-06-22,7127.959961
649,1982-06-23,7154.629883
650,1982-06-24,7152.580078
651,1982-06-25,7202.450195
652,1982-06-28,7204.189941
653,1982-06-29,7180.700195
654,1982-06-30,7213.870117
655,1982-07-01,7179.379883
656,1982-07-02,7084.870117
657,1982-07-05,7081.100098000001
658,1982-07-06,7019.560059
659,1982-07-07,7035.109863
660,1982-07-08,6961.910156
661,1982-07-09,6991.560059
662,1982-07-12,7146.689941
663,1982-07-13,7189.009765999999
664,1982-07-14,7155.0
665,1982-07-15,7197.77002
666,1982-07-16,7175.890137
667,1982-07-19,7237.799805
668,1982-07-20,7212.5
669,1982-07-21,7210.560059
670,1982-07-22,7227.370117
671,1982-07-23,7220.509765999999
672,1982-07-26,7203.939941
673,1982-07-27,7198.040039
674,1982-07-28,7192.589844
675,1982-07-29,7145.870117
676,1982-07-30,7122.080078
677,1982-08-02,7208.290039
678,1982-08-03,7213.410156
679,1982-08-04,7166.279785
680,1982-08-05,7092.669922
681,1982-08-06,7068.279785
682,1982-08-09,6976.169922
683,1982-08-10,6928.299805
684,1982-08-11,6885.209961
685,1982-08-12,6880.22998
686,1982-08-13,6927.689941
687,1982-08-16,6939.430176000001
688,1982-08-17,6864.560059
689,1982-08-18,6990.810059
690,1982-08-19,6967.779785
691,1982-08-20,6968.459961
692,1982-08-23,7053.490234000001
693,1982-08-24,7088.990234000001
694,1982-08-25,7126.600098000001
695,1982-08-26,7153.379883
696,1982-08-27,7185.100098000001
697,1982-08-30,7118.850098000001
698,1982-08-31,7123.379883
699,1982-09-01,7152.549805
700,1982-09-02,7125.910156
701,1982-09-03,7175.589844
702,1982-09-06,7219.330078
703,1982-09-07,7209.450195
704,1982-09-08,7189.490234000001
705,1982-09-09,7124.009765999999
706,1982-09-10,7105.029785
707,1982-09-13,7073.930176000001
708,1982-09-14,7096.299805
710,1982-09-16,7087.899901999999
711,1982-09-17,7062.509765999999
712,1982-09-20,7042.629883
713,1982-09-21,7040.279785
714,1982-09-22,7071.100098000001
716,1982-09-24,7066.040039
717,1982-09-27,6975.5
718,1982-09-28,6940.509765999999
719,1982-09-29,6979.089844
720,1982-09-30,6910.72998
721,1982-10-01,6849.779785
722,1982-10-04,6942.220215
723,1982-10-05,6932.120117
724,1982-10-06,6974.350098000001
725,1982-10-07,7114.640137
726,1982-10-08,7361.569823999999
728,1982-10-12,7413.25
729,1982-10-13,7411.580078
